,Date,Stock
0,2018-09-01,365.63999939
1,2018-09-02,364.6200027467578
2,2018-09-03,364.1100044251367
3,2018-09-04,363.6000061035156
4,2018-09-05,341.17999267578125
5,2018-09-06,346.4599914550781
6,2018-09-07,348.67999267578125
7,2018-09-08,348.5449981689453
8,2018-09-09,348.47750091552734
9,2018-09-10,348.4100036621094
10,2018-09-11,355.92999267578125
11,2018-09-12,369.95001220703125
12,2018-09-13,368.1499938964844
13,2018-09-14,364.55999755859375
14,2018-09-15,357.4550018310547
15,2018-09-16,353.90250396728516
16,2018-09-17,350.3500061035156
17,2018-09-18,367.6499938964844
18,2018-09-19,366.9599914550781
19,2018-09-20,365.3599853515625
20,2018-09-21,361.1900024414063
21,2018-09-22,365.3999938964844
22,2018-09-23,367.50498962402344
23,2018-09-24,369.6099853515625
24,2018-09-25,369.42999267578125
25,2018-09-26,377.8800048828125
26,2018-09-27,380.7099914550781
27,2018-09-28,374.1300048828125
28,2018-09-29,377.7799987792969
29,2018-09-30,379.60499572753906
30,2018-10-01,381.42999267578125
31,2018-10-02,377.1400146484375
32,2018-10-03,377.0499877929688
33,2018-10-04,363.6499938964844
34,2018-10-05,351.3500061035156
35,2018-10-06,350.2250061035156
36,2018-10-07,349.6625061035156
37,2018-10-08,349.1000061035156
38,2018-10-09,355.7099914550781
39,2018-10-10,325.8900146484375
40,2018-10-11,321.1000061035156
41,2018-10-12,339.55999755859375
42,2018-10-13,336.3450012207031
43,2018-10-14,334.7375030517578
44,2018-10-15,333.1300048828125
45,2018-10-16,346.3999938964844
46,2018-10-17,364.70001220703125
47,2018-10-18,346.7099914550781
48,2018-10-19,332.6700134277344
49,2018-10-20,331.1050109863281
50,2018-10-21,330.322509765625
51,2018-10-22,329.5400085449219
52,2018-10-23,333.1600036621094
53,2018-10-24,301.8299865722656
54,2018-10-25,312.8699951171875
55,2018-10-26,299.8299865722656
56,2018-10-27,292.3349914550781
57,2018-10-28,288.5874938964844
58,2018-10-29,284.8399963378906
59,2018-10-30,285.80999755859375
60,2018-10-31,301.7799987792969
61,2018-11-01,317.3800048828125
62,2018-11-02,309.1000061035156
63,2018-11-03,312.27000427246094
64,2018-11-04,313.8550033569336
65,2018-11-05,315.44000244140625
66,2018-11-06,310.8399963378906
67,2018-11-07,327.5
68,2018-11-08,317.9200134277344
69,2018-11-09,303.4700012207031
70,2018-11-10,298.77000427246094
71,2018-11-11,296.42000579833984
72,2018-11-12,294.07000732421875
73,2018-11-13,294.3999938964844
74,2018-11-14,286.7300109863281
75,2018-11-15,290.05999755859375
76,2018-11-16,286.2099914550781
77,2018-11-17,278.4049987792969
78,2018-11-18,274.50250244140625
79,2018-11-19,270.60000610351557
80,2018-11-20,266.98001098632807
81,2018-11-21,262.1300048828125
82,2018-11-22,260.4750061035156
83,2018-11-23,258.82000732421875
84,2018-11-24,260.125
85,2018-11-25,260.7774963378906
86,2018-11-26,261.42999267578125
87,2018-11-27,266.6300048828125
88,2018-11-28,282.6499938964844
89,2018-11-29,288.75
90,2018-11-30,286.1300048828125
91,2018-12-01,288.2149963378906
92,2018-12-02,289.2574920654297
93,2018-12-03,290.29998779296875
94,2018-12-04,275.32998657226557
95,2018-12-05,279.10499572753906
96,2018-12-06,282.8800048828125
97,2018-12-07,265.1400146484375
98,2018-12-08,267.4200134277344
99,2018-12-09,268.5600128173828
100,2018-12-10,269.70001220703125
101,2018-12-11,265.32000732421875
102,2018-12-12,274.8800048828125
103,2018-12-13,276.01998901367193
104,2018-12-14,266.83999633789057
105,2018-12-15,264.8199920654297
106,2018-12-16,263.8099899291992
107,2018-12-17,262.79998779296875
108,2018-12-18,270.94000244140625
109,2018-12-19,266.76998901367193
110,2018-12-20,260.57998657226557
111,2018-12-21,246.38999938964844
112,2018-12-22,240.13500213623047
113,2018-12-23,237.00750350952148
114,2018-12-24,233.8800048828125
115,2018-12-25,243.7750015258789
116,2018-12-26,253.6699981689453
117,2018-12-27,255.57000732421875
118,2018-12-28,256.07998657226557
119,2018-12-29,261.8699951171875
120,2018-12-30,264.76499938964844
121,2018-12-31,267.66000366210943
122,2019-01-01,267.66000366210943
123,2019-01-02,267.66000366210943
124,2019-01-03,271.20001220703125
125,2019-01-04,297.57000732421875
126,2019-01-05,306.4550018310547
127,2019-01-06,310.89749908447266
128,2019-01-07,315.3399963378906
129,2019-01-08,320.2699890136719
130,2019-01-09,319.9599914550781
131,2019-01-10,324.6600036621094
132,2019-01-11,337.5899963378906
133,2019-01-12,335.26499938964844
134,2019-01-13,334.10250091552734
135,2019-01-14,332.94000244140625
136,2019-01-15,354.6400146484375
137,2019-01-16,351.3900146484375
138,2019-01-17,353.19000244140625
139,2019-01-18,339.1000061035156
140,2019-01-19,332.1300048828125
141,2019-01-20,328.64500427246094
142,2019-01-21,326.90250396728516
143,2019-01-22,325.1600036621094
144,2019-01-23,321.989990234375
145,2019-01-24,326.6700134277344
146,2019-01-25,338.04998779296875
147,2019-01-26,336.85499572753906
148,2019-01-27,336.2574996948242
149,2019-01-28,335.6600036621094
150,2019-01-29,328.8999938964844
151,2019-01-30,340.6600036621094
152,2019-01-31,339.5
153,2019-02-01,339.8500061035156
154,2019-02-02,345.5950012207031
155,2019-02-03,348.4674987792969
156,2019-02-04,351.3399963378906
157,2019-02-05,355.80999755859375
158,2019-02-06,352.19000244140625
159,2019-02-07,344.7099914550781
160,2019-02-08,347.57000732421875
161,2019-02-09,346.65000915527344
162,2019-02-10,346.1900100708008
163,2019-02-11,345.7300109863281
164,2019-02-12,359.9700012207031
