,Stock,StockChange,SentimentValue,SentimentChange,StockIncreaseBool,SentimentPositiveBool
Stock,1.0,0.054599612667977325,-0.07291050771372792,-0.0008341100443346477,0.05410908548293398,-0.027352224309702643
StockChange,0.054599612667977325,1.0,-0.009076638348491643,-0.012053327180879682,0.6197200934211052,-0.06341865048116176
SentimentValue,-0.07291050771372792,-0.009076638348491643,1.0,0.615589851964412,-0.029752904427269248,0.7360185769461188
SentimentChange,-0.0008341100443346477,-0.012053327180879682,0.615589851964412,1.0,0.0065306836941967615,0.4522197339144667
StockIncreaseBool,0.05410908548293398,0.6197200934211052,-0.029752904427269248,0.0065306836941967615,1.0,-0.0804874737382414
SentimentPositiveBool,-0.027352224309702643,-0.06341865048116176,0.7360185769461188,0.4522197339144667,-0.0804874737382414,1.0
