0,Date
0.6369,2020/9/1
0.2481,2020/9/1
0.34,2020/9/1
0,2020/9/1
0,2020/9/1
0,2020/9/1
0.4019,2020/9/1
0.547,2020/9/1
0,2020/9/1
0.8176,2020/9/1
0.8986,2020/9/1
-0.9325,2020/9/1
0.6688,2020/9/1
0,2020/9/1
0.5859,2020/9/1
0.8439,2020/9/1
0.3612,2020/9/1
0.3802,2020/9/1
0.3612,2020/9/1
-0.4003,2020/9/1
0,2020/9/1
-0.851,2020/9/1
0,2020/9/1
0,2020/9/1
0,2020/9/1
0,2020/9/1
0.2732,2020/9/1
0.7506,2020/9/1
0.5859,2020/9/1
0.6808,2020/9/1
0.7506,2020/9/1
-0.5632,2020/9/1
0,2020/9/1
-0.5319,2020/9/1
0.34,2020/9/1
-0.1531,2020/9/1
0,2020/9/1
0.3818,2020/9/1
0,2020/9/1
-0.1531,2020/9/1
0.872,2020/9/1
0.4451,2020/9/1
0,2020/9/1
0,2020/9/1
0.4588,2020/9/1
0.717,2020/9/1
0.7579,2020/9/1
-0.8176,2020/9/1
0,2020/9/1
-0.8398,2020/9/1
0.4559,2020/9/1
0,2020/9/1
0,2020/9/1
0.3595,2020/9/1
0.4588,2020/9/1
-0.47,2020/9/1
-0.92,2020/9/1
0.7579,2020/9/1
0.6908,2020/9/1
-0.5319,2020/9/1
0.8313,2020/9/1
0,2020/9/1
0.8309,2020/9/1
-0.3818,2020/9/1
0.6588,2020/9/1
0,2020/9/1
0.3818,2020/9/1
0.4574,2020/9/1
0.5719,2020/9/1
0.5994,2020/9/1
0.9402,2020/9/1
0.8213,2020/9/1
0.8687,2020/9/1
-0.7824,2020/9/1
0.4404,2020/9/1
0.5562,2020/9/1
0.5106,2020/9/1
0.0408,2020/9/1
-0.168,2020/9/1
-0.25,2020/9/1
0,2020/9/1
0.7089,2020/9/1
-0.9485,2020/9/1
-0.3182,2020/9/1
0.54,2020/9/1
0.8257,2020/9/1
0,2020/9/1
0.5719,2020/9/1
0.5719,2020/9/1
0.5719,2020/9/1
0.8481,2020/9/2
0.5859,2020/9/2
0.4003,2020/9/2
0,2020/9/2
0.9643,2020/9/2
