0,Date
0.6896,2018/9/1
0.69,2018/9/1
0,2018/9/1
0,2018/9/1
0,2018/9/1
0.8356,2018/9/1
0.4019,2018/9/1
0.5562,2018/9/1
0.4404,2018/9/1
0.3612,2018/9/1
-0.4278,2018/9/1
0.4215,2018/9/1
0.802,2018/9/1
0.8814,2018/9/1
0.3818,2018/9/1
-0.6784,2018/9/1
0.7835,2018/9/1
0.4003,2018/9/1
0.6369,2018/9/1
0.7887,2018/9/1
0.5562,2018/9/1
0.4404,2018/9/1
0,2018/9/1
0.4939,2018/9/1
0,2018/9/1
0.934,2018/9/1
0.6996,2018/9/1
0.5514,2018/9/1
0.8941,2018/9/1
0.4724,2018/9/1
0.7845,2018/9/1
0.1027,2018/9/1
0.8283,2018/9/1
0.7003,2018/9/1
0.8748,2018/9/1
-0.8516,2018/9/1
0.8316,2018/9/1
0.5267,2018/9/1
0.6731,2018/9/1
0,2018/9/1
0.5859,2018/9/1
-0.804,2018/9/1
0,2018/9/1
0.9467,2018/9/1
0.6988,2018/9/1
0,2018/9/1
0,2018/9/1
-0.6573,2018/9/1
0.296,2018/9/1
0.8122,2018/9/1
0,2018/9/1
0.6581,2018/9/1
0.7717,2018/9/1
0.3578,2018/9/1
0,2018/9/1
0,2018/9/1
0.765,2018/9/1
0.3464,2018/9/1
0.7964,2018/9/1
0.34,2018/9/1
0,2018/9/1
0.4559,2018/9/1
0.836,2018/9/1
0,2018/9/1
0.4199,2018/9/1
0.4627,2018/9/1
0.3094,2018/8/31
-0.2023,2018/9/1
-0.34,2018/9/1
0.1779,2018/9/1
0.4724,2018/9/1
0.3612,2018/9/1
0.4767,2018/9/1
0.8107,2018/9/1
0.8633,2018/9/1
0.8502,2018/9/1
0.8436,2018/9/1
0,2018/9/1
-0.8622,2018/9/1
0.8313,2018/9/1
0.8715,2018/9/1
0,2018/9/1
0.6908,2018/9/1
0.765,2018/9/1
0.418,2018/9/1
0.9183,2018/9/1
-0.0258,2018/9/1
0.9523,2018/9/1
0,2018/9/1
0.7682,2018/9/1
0.7088,2018/9/2
0.765,2018/9/2
0,2018/9/2
0,2018/9/2
0.8159,2018/9/1
0.3182,2018/9/2
0.5319,2018/9/2
0.8604,2018/9/2
0,2018/9/2
